timestamp,powerWatts,contexts,instructions,cpu-cycles,cpu-migrations,branches,branch-misses,L1-icache-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,SIMD_FP_256_PACKED_SINGLE,SIMD_FP_256_PACKED_DOUBLE,FP_COMP_OPS_EXE_X87,FP_COMP_OPS_EXE_SSE_FP_PACKED_DOUBLE,FP_COMP_OPS_EXE_SSE_FP_SCALAR_SINGLE,FP_COMP_OPS_EXE_SSE_PACKED_SINGLE,FP_COMP_OPS_EXE_SSE_SCALAR_DOUBLE,UOPS_RETIRED_ALL,Core_0,Core_1,Core_2,Core_3,Core_4,Core_5,Core_6,Core_7,Core_8,Core_9,Core_10,Core_11,Core_12,Core_13,Core_14,Core_15,Core_16,Core_17,Core_18,Core_19,Core_20,Core_21,Core_22,Core_23,Core_24,Core_25,Core_26,Core_27,Core_28,Core_29,Core_30,Core_31,Core_1CPU,Core_2CPU,numSockets,bytes_read,bytes_written,disk_free,disk_total,part_max_used,read_time,write_time,reads,writes,mem_buffers,mem_cached,mem_free,mem_shared,page_in,page_out,swap_free,swap_in,swap_out,bytes_in,bytes_out,drops_in,drops_out,errs_in,errs_out,pkts_in,pkts_out,cpu_idle,cpu_intr,cpu_nice,cpu_sintr,cpu_system,cpu_user,cpu_wio,interrupts
1417024550,78.5,301.5,61400797.25,248643078,16.75,10852271.25,289698,838737,59906284.25,4495110,53196730,550828.75,478,404.75,651,839,67,1.25,38331.25,84,174.75,973,2751.75,539387984.75,0.5,0,1,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,8081,1833.023,1859.536,18.27,0,5,0,2,15316,61628,32623160,0,0,4,1643512,0,0,2380.095,19328.205,0,0,0,0,20.715,122.32,99.775,0,0,0,0.165,0.065,0,1439
1417024552,79.5,206,56218123.75,223839201,14.25,8760011.25,231061,664319,67831142,3188308.25,36514365,445046.25,0,1711,0,0,3.25,0,44810.25,66.25,4.25,0,2246,645348890.75,1.5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,42452,1833.023,1859.536,18.27,0,8.335,0,4,15320,61626,32623082,0,0,21,1643512,0,0,3028.085,19670.55,0,0,0,0,24.175,127.78,99.79,0,0,0,0.15,0.04,0.025,1284
1417024554,80,244,48937996,226335585,17,13529846.25,238782.25,647745,71904490.75,3378346,43701458.75,535087.75,0,1488,0,0,1.75,4.25,45622.25,70.25,38,0,4576,552279890,1,0,0.5,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,2,2019.5,42452,1833.023,1859.536,18.27,6,10.335,0.5,4,15324,61630,32623680,0,1,21,1643514,0,0,2454.615,17625.185,0,0,0,0,25.655,114.96,99.82,0,0,0,0.115,0.03,0.035,1016.5
1417024556,79,261.5,50691830.75,220886565.25,24,13296312.75,314586.25,689538,63435323.75,3662461,118791682,1257908,202,60.25,0,0,90,20,37146.75,71,1698.25,41,4047,570113299,0.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2019.5,8079,1833.023,1859.536,18.27,6,8,0.5,2,15324,61636,32624542,0,1,4,1643516,0,0,2473.375,16999.015,0,0,0,0,25.885,113.415,99.805,0,0,0,0.13,0.055,0.01,1062
1417024558,78,248,38620356.75,225591755,19,10070424.25,290120,731685.75,53853037.25,3023823,105174851,1105331.25,202,460,0,192.75,108,21.75,31716,84,3098.75,254.75,4232,654453670,0.5,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,36371,1833.023,1859.536,18.27,0,9.715,0,4.5,15328,61636,32624170,0,0,18,1643516,0,0,2695.365,18555.35,0,0,0,0,28.36,126.755,99.775,0,0,0,0.145,0.065,0.015,1271
1417024560,78.5,433,171537095.25,353361775.75,51,27582845.25,789913,1802584,118547441,5752488,70781919.75,2717328,817,460,784.25,255,78.25,58,97116.75,626.25,1720.25,741.75,6693.75,799382261,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,36046.5,1833.023,1859.536,18.27,0,7.715,0,4.5,15332,61634,32618438,0,0,18,1643516,0,0,2614.69,28253.18,0,0,0,0,31.955,130.37,99.485,0,0,0,0.255,0.245,0.015,1380.5
1417024562,78.5,411,166206882,330637556.25,51,26306085,785709,1729045.25,116888455.75,5387133,68610528,2618791.75,817,0,784.25,62.75,67,55,100020,606.25,284.75,528,5393.75,703329011.75,0.5,0,0,0,0,0,0,0,0.5,1,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,7798.5,1833.023,1859.536,18.27,0,7,0,2,15332,61702,32612700,0,0,4,1643516,0,0,2965.225,184353.99,0,0,0,0,35.59,186.6,99.49,0,0,0,0.275,0.23,0.01,1391.5
1417024564,80,205.5,29567104,196760450,13.25,8056082,191348,532936,29225904.25,1538201.25,19156210,214421.25,0,0,0,0,15,6,35342,61,4,0,4630,433720754,6.5,1,1.5,0,0,0,0,0,6.05,0.5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,4,2,2,0,44961.5,1833.023,1859.536,18.27,0,11,0,3.5,15336,61776,32612508,0,0,22,1643516,0,0,2197.055,306948.25,0,0,0,0,28.43,223.685,99.805,0,0,0,0.15,0.02,0.035,1241
1417024566,81.5,245.5,29799448.25,199737794,15,9363226,228059.75,591963.75,33684443.75,2425922,20710262,253996,0,0,0,0,11.25,4,38032.25,71.75,21,13.75,2806.75,398115985.25,6.5,1,2.5,0.5,0,0,0,0,5.55,0,2.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,6,1,2,844557,63372.5,1833.023,1859.536,18.27,2.645,12.665,171,4,15340,61852,32612442,0,412.5,31,1646986,87,0,2332.18,286142.485,0,0,0,0,30.2,217.375,99.59,0,0,0.01,0.14,0.025,0.245,1340
1417024568,79.5,241.5,32409203.25,210343947.75,15.25,9842051.25,242193,637718,23243998,2078045.75,20794257,179977.25,0,0,0,0,3,1,39441.25,77,978.25,32.75,5340.25,909429261,0,0,2.5,0.5,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,844557,47033.5,1833.023,1859.536,18.27,2.645,11.665,171,3.5,15344,61976,32612404,0,412.5,23,1650456,87,0,2579.135,289294.565,0,0,0,0,34.2,220.17,99.59,0,0,0.01,0.15,0.025,0.235,1354.5
1417024570,79,195,33774115,195187134,14.25,8130438,217096.25,614626.75,20095817.25,1492898.75,19295364,146624,0,0,0,0,1.75,3.25,41254.75,73.25,979.25,19,5305.75,918789036.75,1,0,3,0,0,0,0,0,0,0,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,30670.5,1833.023,1859.536,18.27,0,7.665,0,3.5,15348,62028,32612674,0,0,15,1650456,0,0,1689.57,287910.065,0,0,0,0,28.455,216.12,99.82,0,0,0,0.15,0.02,0.015,1238.5
1417024572,79,199,31376345.75,177744736,12.75,8124807,214902.25,567361,25928215,1116853.75,12546001,144268,0,0,0,0,1.75,6,40955.75,86.75,61,0,1209.75,363915544,1.5,0,3,0,0,0,0,0,0.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,10219.5,1833.023,1859.536,18.27,0,6.665,0,2.5,15348,62030,32612928,0,0,5,1650456,0,0,2607.785,288273.955,0,0,0,0,35.43,223.305,99.825,0,0,0,0.14,0.035,0,1227
1417024574,80,208,27740900,181638746,12,8009452.25,208416.75,524317,25737917.75,810039.75,11276483,186081.25,0,0,0,0,2.25,3.25,40340.75,94.25,72,33.75,1416,486594684,0.5,0,2.5,0.5,0,0,0,0,0.5,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,5,1,2,0,67449.5,1833.023,1859.536,18.27,0,17.09,0,12,15352,62030,32613536,0,0,33,1650456,0,0,5153.195,294117.25,0,0,0,0,42.915,227.795,99.79,0,0,0,0.15,0.035,0.03,1238.5
1417024576,81,205,30387931.75,196297905.25,12.25,9194109.25,238144.75,585329,20512292.25,1191162.25,14318166,201609.25,0,0,0,0,4,6.75,40402.25,84,49.75,68.25,1890.75,477737363.75,0,0,2,0.5,0,0,0,0,0,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,4,1,2,0,67377,1833.023,1859.536,18.27,0,17.09,0,12,15356,62030,32613516,0,0,33,1650456,0,0,5015.81,291044.14,0,0,0,0,40.815,223.3,99.79,0,0,0,0.15,0.025,0.04,1236.5
1417024578,79.5,192,32666015,192634389,11,8928643,222293.75,553697.25,17710504.25,1177870.25,15959323.25,217111,0,0,0,0,1.75,8,38959.75,83.75,18,34,2443.75,355573914.75,0,0,2.5,0.5,0,0,0,0,1.5,0,2,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,8059,1833.023,1859.536,18.27,0,7,0,2,15356,62032,32613864,0,0,4,1650456,0,0,2656.24,285026.845,0,0,0,0,34.17,216.9,99.82,0,0,0,0.14,0.03,0.01,1210.5
1417024580,78,196,32989344,171036485,11,6823080.75,177259,493031,16888443.25,1131070.75,20891416,333630.75,0,0,0,0,0,5,38345,85,15,0,11359,475910023.75,0,0,3,0.5,0,0,0,0,1.5,0,2,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,36860.5,1833.023,1859.536,18.27,0,9,0,4,15360,62032,32614150,0,0,18,1650456,0,0,1867.08,288839.97,0,0,0,0,29.34,213.785,99.805,0,0,0,0.15,0.015,0.03,1212.5
1417024582,79,202.5,35055282.75,177335704.25,9,7815572,156267.25,450577.25,15431159,1391680,23476427.25,238016.25,0,0,0,0,5.75,5,39164,88,15,27.75,10622.25,440236317.25,0,0,3,0,0,0,0,0,0,0.5,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,36923.5,1833.023,1859.536,18.27,0,12,0,4,15364,62032,32613856,0,0,18,1650456,0,0,2348.485,247781.1,0,0,0,0,29.56,205.655,99.81,0,0,0,0.15,0.01,0.03,1236.5
1417024584,81,201,31673177,179345932,8.75,8280860.25,167557,464752,28774565,1594458.75,25797079.75,86438,0,0,0,0,13,7,42208,90.75,0,51,3073.75,445115067.25,0,0,3,0,0,0,0,0,0,0.5,2.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,24983,1833.023,1859.536,18.27,0,10.5,0,3,15368,62032,32614294,0,0,12,1650456,0,0,2334.225,250315.725,0,0,0,0,29.315,206.565,99.81,0,0,0,0.15,0.02,0.025,1241
1417024586,80.5,200.5,31690899,173520487,11,7579058.25,188354,542049.75,37311637,3215695,34499855.75,301911,0,0,0,0,15.25,7.25,41489.75,99.75,49.75,23.25,3988,810043516.25,0,0,3,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,24940,1833.023,1859.536,18.27,0,10.5,0,3,15372,62036,32614490,0,0,12,1650456,0,0,2705.405,291941.985,0,0,0,0,31.395,218.94,99.805,0,0,0,0.15,0.025,0.025,1229
1417024588,79,192,34620926.25,185681989.75,11.75,7901797,170640,496293,30046550.75,3257626,38040489,369437.25,0,0,0,0,7,2,41509,100,58,17.75,1871.25,661326442,0,0,2.5,0,0,0,0,0,1.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,8176,1833.023,1859.536,18.27,0,10,0,2,15372,62038,32614810,0,0,4,1650456,0,0,2633.035,286781,0,0,0,0,30.17,217.05,99.83,0,0,0,0.15,0.025,0,1207.5
1417024590,79,192.5,31219844,181234003,12.75,8423426,162908,438896,19150737,1432720.75,26618165.25,184780.75,0,0,0,0,7,4,44408,92.25,14.75,17.75,1071,382454099,0,0,2.5,0,0,0,0,0,1.5,0.5,3,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,4,1,2,0,36191,1833.023,1859.536,18.27,0,8.57,0,4.5,15376,62040,32614868,0,0,17.5,1650458,0,0,1637.195,285104.575,0,0,0,0,27.75,213.15,99.82,0,0,0,0.14,0.02,0.025,1183
1417024592,81,204,24908440,171829170.75,12.75,8177579,172946.75,482461,11774955,1113334,14983188,128644,447,1212.75,0,0,145.75,6,48049.75,103.75,34,0,1502.75,393609884.75,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,2,0,36247.5,1833.023,1859.536,18.27,0,9.57,0,4.5,15380,62042,32614430,0,0,17.5,1650460,0,0,5070.575,291300.06,0,0,0,0,41.165,227.09,99.82,0,0,0.01,0.12,0.025,0.025,1183.5
1417024594,81.5,193,25014695,172881156.25,11.25,6917684.75,172817,450348,12153725.75,983102,13061665.25,137158,447,1212.75,0,0,138.25,2,54043,97,30,384.25,4470.75,424061533.75,0,0,2.5,0,0,0,0,0,0,0.5,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,3,1,2,2025.5,10246,1833.023,1859.536,18.27,2,9.665,0.5,2.5,15382,62036,32614488,0,1,5,1650460,0,0,5032.785,292674.155,0,0,0,0,40.325,218.055,99.835,0,0,0.02,0.115,0.025,0.01,1069.5
1417024596,81,188,25594923.25,164422141,12.25,6227037.75,151158.25,389986.75,20341161.75,1405242.75,18407592.75,948872,0,0,0,0,0,4,56493,87.25,2,396.75,4411,540085710.75,0,0,2,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2025.5,34936.5,1833.023,1859.536,18.27,2,9.865,0.5,4,15388,62038,32614674,0,1,17,1650460,0,0,2430.805,287641.78,0,0,0,0,32.23,211.43,99.81,0,0,0.01,0.135,0.02,0.035,1089
1417024598,81,194,24091996.75,169615437,14,6289516.75,134521,359227.25,20276118,1477692,18114211.75,990573.25,0,0,207.25,691.75,4.75,6.25,56361,101,22.75,55.75,2684.25,423682243,0,0,2,0.5,0,0,0,0,1,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,32947.5,1833.023,1859.536,18.27,0,11.2,0,3.5,15392,62044,32614866,0,0,16,1650460,0,0,2478.905,290400.5,0,0,0,0,33.345,221.78,99.795,0,0,0,0.15,0.025,0.035,1218
1417024600,81.5,200,207124962.25,397787206,514,37819790.25,1695595,2748281.25,185882568,13362922,159316694,5195045.25,753.25,1268.75,207.25,839.75,22,4.25,54060.75,103.25,568,510,10467.75,469698741,4.5,4.1,7.5,3.7,5.45,4.4,1.05,2.95,1,1,1.5,0,0.5,0.5,1,3.45,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,2,0,24527,1833.023,1859.536,18.27,0,10,0,3,15396,62042,32615152,0,0,12,1650460,0,0,1731.04,290613.265,0,0,0,0,29.44,214.82,99.82,0,0,0,0.13,0.025,0.025,1200
1417024602,80,3150.5,207672203.75,397102622,513.75,38701492,1715699,2824019,212782765.25,13744688,161961975,5138422.75,753.25,1268.75,0,148,416,4.25,113715.75,83.75,551.75,790,15743.25,1271747471.75,4.5,4.1,6.5,3.2,5.45,4.4,1.05,2.95,0,1,0.5,0,0.5,0.5,1,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,24472.5,1833.023,1859.536,18.27,0,8,0,3,15400,62044,32614754,0,0,12,1650460,0,0,12626.71,298617.09,0,0,0,0,66.42,256.475,99.205,0,0,0,0.225,0.555,0.015,2813
1417024604,78,3143,26407781,180476160,13,8010752,178323,498320,65960277,1627849,16388440,105999,0,0,0,0,617.25,2.25,109072,81,8,323.25,8638,1107726052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8175,1833.023,1859.536,18.27,0,7,0,2,15400,62046,32613902,0,0,4,1650460,0,0,12489.18,301120.485,0,0,0,0,64.09,255.865,99.195,0,0,0,0.25,0.555,0,2805.5
1417024606,78,193,26910329,176978846,13,7421330,152162,433811.25,38283194,1276091,14956401.25,88511,106.75,0,0,0,224.25,0,44975.25,104,15.75,24.25,3192.75,376221912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,30712.5,1833.023,1859.536,18.27,0,8.6,0,3.5,15404,62042,32613604,0,0,15,1650460,0,0,2234.23,290084.735,0,0,0,0,29.355,217.705,99.805,0,0,0,0.145,0.025,0.025,1202.5
1417024608,78.5,190.5,25714177,175824186,11.25,6732604,132949,352355.25,35104968,1386936.75,19599462.75,380716.75,106.75,0,0,0,6.25,0,47367,151,61,357,2851,587901590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30659,1833.023,1859.536,18.27,0,8.6,0,3.5,15408,62040,32613600,0,0,15,1650460,0,0,2466.57,287665.67,0,0,0,0,32.935,219.315,99.8,0,0,0,0.14,0.04,0.025,1223
1417024610,79.5,188.5,28658870.25,174730363,9,6513881.25,138343,362041,37593099.75,1856614.25,23666186,657633.25,1387.75,584.75,0,0,45,5.75,48958,158.25,61.75,4003.25,8853,564555833,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8090,1833.023,1859.536,18.27,0,7,0,2,15408,62044,32614004,0,0,4,1650460,0,0,1968.765,286287.545,0,0,0,0,32.34,214.3,99.83,0,0,0,0.14,0.035,0,1218
1417024612,80,201,31809528.25,183285635,11,6446119.75,146391,409886,14585135,1959733,29496096,754884.25,1387.75,584.75,0,0,258.75,13,52432,159,14,3732.75,8407.75,336388678.75,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,24889.5,1833.023,1859.536,18.27,0,8.5,0,3,15412,62046,32614100,0,0,12,1650460,0,0,4085.06,293060.92,0,0,0,0,45.44,226.875,99.82,0,0,0,0.13,0.025,0.025,1262.5
1417024614,79,203,31415083,177191051.75,12,6140913,134840,380972,19826102,1780843,27937006,556814.25,0,754.25,0,0,254,7.75,55199,151.75,1920.25,343.75,1121.75,586048627,0,0,1.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,43370.5,1833.023,1859.536,18.27,0,12.9,0,7,15416,62048,32614106,0,0,21,1650460,0,0,3763.5,295195.53,0,0,0,0,40.55,226.4,99.81,0,0,0,0.14,0.025,0.025,1256
1417024616,78.5,194.5,28491338,161285402.25,11,5828048,115951.75,343714,20272713,1440066.25,21077713,479115,0,1310.25,77.25,0,40.75,0,64821.75,122,1923.25,311,646,651230416,1,0,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,26573,1833.023,1859.536,18.27,0,12.4,0,6,15416,62050,32614672,0,0,13,1650460,0,0,2635.71,289253.75,0,0,0,0,34.945,220.615,99.835,0,0,0,0.14,0.025,0,1215.5
1417024618,78,202,23382444.75,165011454.25,13.25,6434386.25,140858.75,422626.25,17364466.75,1365557.25,22361809.75,490607.25,16.75,556,77.25,0,3,180.25,67988.75,146.75,7,30,1652.75,532139095.25,1,0,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,2,0,24529,1833.023,1859.536,18.27,0,9.5,0,3,15420,62046,32614670,0,0,12,1650460,0,0,2745.49,291437.89,0,0,0,0,36.69,220.865,99.805,0,0,0,0.155,0.025,0.015,1224
1417024620,78,200,21474123,166599931.75,14.25,6896084,161170.75,482045.25,26669081.25,1589644.75,26430102,208800,16.75,0,0,0,376.25,186,60916,135.25,12.25,0,5104,525586765,0,0,1,0.5,0,0,0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,26570.5,1833.023,1859.536,18.27,0,8.835,0,3.5,15424,62048,32614738,0,0,13,1650460,0,0,1367.76,289585.34,0,0,0,0,22.955,209.83,99.795,0,0,0,0.155,0.025,0.025,1196
1417024622,81,197,24915746.75,169583774,16.25,7200535.75,172538,483009,31195795,1509822.75,24053953.75,206144,0,0,24,0,379,98.75,51930.75,105,241.25,587.25,4751,691104825,0,0,1.5,0,0,0,0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,30833.5,1833.023,1859.536,18.27,0,7.335,0,3,15428,62048,32615118,0,0,15,1650460,0,0,2292.765,252604.615,0,0,0,0,29.17,196.12,99.845,0,0,0,0.095,0.04,0.02,911.5
1417024624,82.5,198,24639853.75,165578401.75,14.75,7305911.25,161688,437627.75,28850237,1407374,18243993,208928,0,0,24,0,168,95,45202.75,109,277.75,587.25,1082,761567033.25,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,32857.5,1833.023,1859.536,18.27,0,5.335,0,3,15432,62044,32615102,0,0,16,1650460,0,0,2379.405,252378.46,0,0,0,0,30.64,197.855,99.86,0,0,0,0.095,0.035,0.01,921.5
1417024626,82,189.5,21951008.75,167905000,11.75,6628848.75,123530,368148.25,22228966,1238109.25,17331834.75,166320,603.75,0,0,0,206.25,104,45532.25,121,58.75,0,3292,538480884.25,0,0,2,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,12233,1833.023,1859.536,18.27,0,4.335,0,2.5,15432,62042,32615148,0,0,6,1650460,0,0,1453.955,287603.795,0,0,0,0,24.64,212.05,99.835,0,0,0,0.15,0.02,0,1199.5
1417024628,81,192,22601577.75,165134750.25,12,6602567.25,124751.75,378785.75,25228252,901753.25,13468863.25,218652,603.75,0,0,0,43,101,58132,138.25,113.75,33.25,3275,447954640,0,0,2,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,28568,1833.023,1859.536,18.27,0,6.2,0,3.5,15436,62038,32615312,0,0,14,1650460,0,0,2407.79,289918.625,0,0,0,0,32.125,218.135,99.82,0,0,0,0.15,0.025,0.01,1221.5
1417024630,79.5,196,22667957,161800893,13,7804657.75,150150.75,434447,40249443.75,1561812,16365855.25,172193.75,0,0,0,0,17.75,0,65181,155.25,99.25,64.25,162.25,370306971,0,0.5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,28572,1833.023,1859.536,18.27,0,7.2,0,3.5,15440,62044,32615418,0,0,14,1650460,0,0,2334.825,288602.875,0,0,0,0,30.895,217.99,99.825,0,0,0,0.14,0.025,0.01,1239
1417024632,79.5,195.5,25857025,169097244,14,7938296,184353,480854.75,30671223,1844653,18963515.25,232673.75,0,582.75,0,0,21.25,9,57427.25,139,28.25,31,1499.25,343635445,0,0.5,1.5,0,0,0,0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,5,0,2,0,8159,1833.023,1859.536,18.27,0,9,0,2,15440,62048,32615482,0,0,4,1650460,0,0,2513.89,287665.86,0,0,0,0,33.86,222.355,99.825,0,0,0,0.14,0.025,0.01,1229.5
1417024634,79.5,197,24207716.25,162593648.75,13.75,6740394.25,189256,477000,22302656,2530721,24757585,285651,0,582.75,0,99.25,16.75,9,56284,123,57,44,1772.75,306126467,0,0,1,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,4,0,2,0,26504.5,1833.023,1859.536,18.27,0,10.2,0,3.5,15444,62044,32615554,0,0,13,1650460,0,0,2454.455,287474.375,0,0,0,0,32.85,221.5,99.82,0,0,0,0.125,0.03,0.025,1214.5
1417024636,80.5,190,24925233.25,172285093.75,13.75,7174849.75,166410.75,438967,19311842,2292284,26372168,545128.75,0,0,0,99.25,17,1306.25,58578.75,132.25,54,69,2781.25,363057352,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,26504.5,1833.023,1859.536,18.27,0,8.2,0,3.5,15448,62044,32615822,0,0,13,1650460,0,0,1512.695,284835.735,0,0,0,0,25.635,213.785,99.835,0,0,0,0.125,0.025,0.015,1216.5
1417024638,81.5,188.5,26914133,185223388.25,12.25,7097055,135230.75,367336.75,14165201.75,1201568.75,19953046,576620.25,0,52,214,0,7,1321,58883.75,184.75,204,409,2377.25,412399705,0,0,1,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,8151,1833.023,1859.536,18.27,0,7,0,2,15448,62046,32616082,0,0,4,1650460,0,0,2313.64,284670.985,0,0,0,0,30.595,219.4,99.835,0,0,0,0.14,0.025,0,1235
1417024640,80,204.5,24787011,168034375.75,9.25,5385367.25,107743.25,328353,20220171.75,2752861.25,25209315,394384.25,0,52,9086.75,0,3.75,19.25,66780,203,183,383,10732.75,666701714.75,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,29357.5,1833.023,1859.536,18.27,0,7.2,0,4,15452,62046,32616206,0,0,14.5,1650460,0,0,2109.215,302412.295,0,0,0,0,27.135,227.645,99.805,0,0,0,0.15,0.025,0.025,1279.5
1417024642,78.5,211,23949990.25,160205656,11,5802438.75,127158.25,377263.25,27533308.25,2616729.25,26848528.75,410204,0,0,8872.25,0,11.75,4,62625,161,4.25,153,12640.75,796491986,0,0,2.5,1,0,0,0,0,0,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,29363.5,1833.023,1859.536,18.27,0,10.2,0,4,15456,62044,32616330,0,0,14.5,1650460,0,0,2438.07,304298.985,0,0,0,0,31.145,233.29,99.795,0,0,0,0.15,0.025,0.035,1269.5
1417024644,79.5,197,23011521,154408701,13,6377835,145868.25,397139,38811289.75,1260950,24214896.75,219049.75,0,0,0,0,15.75,0,61806.25,155.25,11.25,153,2962,797620267.75,0,0,4,0.5,0,0,0,0,0,0,3.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,6,0,2,0,8159,1833.023,1859.536,18.27,0,9,0,2,15456,62044,32616420,0,0,4,1650460,0,0,2422.31,286398.405,0,0,0,0,30.875,221.615,99.82,0,0,0,0.14,0.03,0.01,1203
